Process,P_value,Enrichment
Animal organ development,8.65E-14,1.71 (19583; 1251)
Anatomical structure development,3.57E-32,1.65 (19583; 3273)
Neuron differentiation,1.76E-10,2.49 (19583; 256)
Positive regulation of nervous system development,1.54E-19,2.47 (19583; 521)
Modulation of chemical synaptic transmission,2.33E-16,2.50 (19583; 418)
Regulation of neurogenesis,1.62E-18,2.11 (19583; 804)
Regulation of cell projection organization,1.04E-10,1.86 (19583; 685)
Regulation of ion transport,1.49E-10,1.85 (19583; 689)
Neuron projection guidance,6.32E-17,3.03 (19583; 256)
Cell adhesion,1.38E-14,1.89 (19583; 916)
